f694d119-bf58-4449-a811-cb7a2165d8c0,2c527579-8b48-49b4-8383-8c084c046c62,e0215e64-2787-40c4-a8bc-8c26118bae76,fef6e287-8f0d-455b-ba19-7c48c2c583d2,599b0d4c-62d4-48cd-a93c-1dd1fe85abfa,456dadea-0262-488f-8af9-63ca86c8a9f7,49e91d8f-37a3-4b7b-8062-d3ca8f561d01,8b948ed4-41e9-4441-9609-adaf4d3a102e,48bd0e00-be54-47a2-9aed-73c0c863fd39,6f54f9c0-5687-4a07-bf75-b506752b4a52,47761280-913e-4826-b400-f04f85b17476,b1cbc674-f3c1-453d-9cd1-8f4db32286ae
29,5,23,1,12,4,19,15,3,6,46,1
3,6,2,10,1,19,19,2,4,6,10,4
651,927,474,681,182,1342,1369,409,751,732,712,555
1,1,0,0,0,0,0,0,0,0,0,0
4,4,6,1,0,1,7,2,0,0,2,0
3,0,0,0,1,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
20,30,16,16,6,21,11,54,51,34,56,25
36,51,30,38,15,40,17,79,94,54,99,49
8,19,12,18,4,17,12,10,29,3,26,13
36,4,151,40,5,71,113,10,49,11,35,14
62,26,138,42,6,106,53,26,75,12,109,27
4,5,4,9,2,12,0,2,10,1,11,2
0,1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0,1,0
11,48,13,17,8,39,30,12,51,1,71,37
21,2,14,2,6,2,6,6,2,0,26,2
3,6,3,7,1,15,14,1,5,3,5,2
772,901,377,736,326,1895,2172,513,919,1440,916,640
100,89,155,86,42,51,60,80,93,175,111,122
196,381,276,241,99,179,131,156,248,257,291,322
4,14,4,4,0,8,5,9,9,16,11,4
1,8,2,1,1,1,5,1,2,1,2,2
3,1,1,1,0,3,1,0,2,3,2,1
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,1,1,3,0,0,2,0,1,1
2,3,0,3,0,6,0,2,4,0,5,5
181,47,215,26,21,164,112,59,107,68,141,34
65,61,36,51,10,106,13,22,79,11,126,58
0,1,0,0,0,0,0,0,0,0,0,0
0,0,7,0,0,7,0,1,0,3,0,0
9545,10674,15630,4522,10973,9705,46254,6566,7459,3093,14470,28163
60973,48488,51291,20104,85942,80959,47259,30008,56648,9679,113001,148216
6223,6594,7043,3070,8266,8289,29031,3333,4702,3110,11298,11485
95964,88833,109410,52166,169355,115578,260416,60549,88518,50765,166929,217129
5013,6066,6686,2245,10761,6393,12991,2584,3148,7029,11783,6188
528,1303,528,280,629,719,1076,502,293,33,1427,1023
64869,45328,67898,26455,73439,68666,124311,37837,44386,20264,146152,113057
50658,12603,19519,10079,29043,15422,34894,10442,16158,6969,30519,27711
0,1,0,0,0,0,0,0,0,0,2,0
3,5,0,0,0,1,0,1,1,0,7,0
0,0,0,1,0,0,0,0,1,0,2,0
6,9,1,9,5,15,0,2,26,3,20,5
0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0,1
608,452,526,373,120,847,557,188,616,241,850,364
61,184,91,45,12,60,120,43,66,37,119,55
11,23,25,8,6,18,7,4,18,3,26,12
10,19,15,3,12,9,3,11,26,5,30,61
20,36,18,49,11,125,140,29,40,49,106,18
10,36,31,36,26,29,6,29,55,22,63,43
330,981,951,1157,385,1130,450,973,1880,695,2057,2235
0,3,1,0,1,7,0,0,2,3,8,0
16,13,23,13,5,12,25,14,9,26,13,11
0,0,1,0,0,0,0,0,0,0,0,0
22,2,14,43,2,1,2,18,15,2,3,0
5,0,7,3,2,1,1,4,2,1,1,0
7,0,4,6,0,0,1,6,1,7,0,0
330,23,89,271,100,39,41,833,97,409,6,43
1783,414,1562,1530,623,1413,1861,4376,912,5465,897,357
4655,4073,6455,4036,2982,9723,4228,3786,7050,9769,9410,2576
416,301,299,388,89,1310,414,276,439,760,522,123
147,123,489,253,124,216,145,602,86,275,240,5
106,39,249,97,76,84,318,250,23,344,85,2
78,14,39,62,10,216,45,14,318,101,17,46
233,47,69,157,161,972,419,466,357,3325,161,59
1,0,1,0,0,2,0,0,4,1,1,1
2,0,0,1,1,5,0,0,5,1,1,0
9927,676,538,9398,4457,834,12665,1778,1281,4383,1898,674
679,309,459,588,412,2052,705,1487,786,1917,943,147
5279,5018,4353,11380,5961,26778,5192,22475,15155,15702,17770,2942
2,6,9,11,6,73,9,54,1,66,12,1
93,54,93,68,34,604,253,320,53,1023,121,3
516,68,250,120,364,1825,163,91,395,1083,389,2
867,308,480,575,250,2022,956,521,773,1087,1134,195
5,2,2,0,0,1,34,0,2,55,12,0
0,0,0,0,0,2,1,0,0,1,3,0
0,1,0,0,0,8,3,0,1,2,5,0
0,5,0,2,0,11,11,1,1,5,6,0
41,90,59,43,16,444,691,12,47,310,176,3
0,1,0,1,2,6,1,0,6,2,3,71
4,5,3,4,12,69,8,3,24,15,5,92
288,168,1022,142,292,102,1690,32,36,5402,1873,30
217,93,30,61,104,211,154,108,170,399,389,115
4037,4955,5533,3979,3495,9593,4865,8357,8868,9934,12238,6682
1118,1468,3324,932,889,2617,2356,1342,1415,2587,2335,701
27,10,19,19,4,100,42,8,29,85,41,5
7,6,9,14,3,28,5,4,10,22,15,4
2098,1866,3460,1363,1296,3646,2463,2347,2398,4154,3286,1547
9,13,10,14,1,21,93,10,11,39,17,14
227,122,270,294,54,198,946,179,121,391,96,115
0,1,0,0,0,1,0,0,0,1,0,0
2130,1307,1262,1298,548,5778,2406,2694,2050,6673,2188,1262
1359,468,1096,343,364,1445,1001,999,535,3099,1134,250
1,1,1,3,0,10,9,1,3,4,4,2
112,126,171,83,26,185,115,75,63,129,117,40
3997,3776,3984,3336,1835,9961,3897,2995,4606,6361,6110,2671
1502,696,2099,706,846,2248,2560,1580,1520,2404,2501,1027
331,46,23,11,26,63,89,283,36,13,32,14
0,0,0,1,2,2,0,0,0,0,1,1
2360,1767,2870,1970,1312,5791,3275,3296,2980,6020,3633,2463
6216,6532,6606,3454,6671,3274,2777,20061,8325,11304,8195,11754
3531,1749,2826,1604,1912,6892,7662,2621,3268,11959,5643,2009
4,2,0,0,0,3,4,0,2,1,1,0
4694,6235,4038,3834,1152,17410,10135,2231,4661,6653,7659,3122
817,1493,1215,857,643,2515,1183,954,1051,2498,2073,829
5,14,0,20,4,33,17,9,18,4,24,8
3216,3057,5090,2159,1877,6057,4247,2080,2981,8686,5193,2348
117,143,137,32,46,218,86,54,115,160,137,41
92,454,544,284,202,13,1042,231,379,165,117,747
2,18,16,15,5,1,38,3,6,2,2,6
0,0,1,2,1,0,2,1,2,0,0,0
17,32,87,26,6,22,340,27,34,25,8,36
1837,3121,10717,2450,2617,7168,7492,5671,6839,8372,4508,2398
108,898,1188,118,72,323,1060,745,842,1448,91,43
698,719,624,660,213,2108,1120,429,1044,1833,744,447
1155,1064,1319,1135,720,3332,1136,1385,2373,3801,3225,809
5,16,8,8,30,155,21,42,45,112,24,44
